species,belly,breast,crown,mantle,nape,rump,tail,tail.underside,throat,wing.coverts,wing.primaries.secondaries,Size,Light_environment ,Parental_care,Territoriality,Hunting_strategy
Eumomota_superciliosa,-0.20452119,-0.140827169,0.065691611,-0.136640171,-0.098393889,-0.136737618,0.163861186,0.090265476,-0.019699947,-0.088376093,0.138236287,62.5,woodland,pair,0,aerial_catcher
Eurystomus_azureus,0.332704179,0.256113567,0.10323569,0.124004432,0.115386437,0.237494332,0.115792341,0.134332768,0.24220581,0.113453918,0.186962343,122.76,open,pair,0,aerial_catcher
Eurystomus_glaucurus,0.043703367,0.039907326,-0.05224011,-0.149306053,-0.072548858,-0.020793363,0.074603961,0.110114768,0.078713669,-0.065594334,0.275818038,110,open,pair,1,aerial_catcher
Eurystomus_gularis,0.003716763,0.062181811,-0.046539449,-0.159668414,-0.108145585,-0.128150333,0.065416849,0.119619411,0.157735824,-0.145334575,0.014064689,96.29,woodland,pair,1,aerial_catcher
Eurystomus_orientalis,0.085128628,0.054366588,0.00529297,-0.01171376,-0.011060209,0.023982208,0.074935083,0.136223909,0.197309664,0.067713235,0.132494183,143.02,open,pair,1,aerial_catcher
Halcyon_albiventris,-0.105869733,-0.083403581,-0.067340301,-0.087752631,-0.070746494,0.138712435,0.115974976,0.032750675,-0.015583682,0.02869027,0.14793756,65.1,woodland,pair,1,ground_catcher
Halcyon_badia,-0.009089537,-0.025418023,-0.086903754,-0.069810011,-0.093906884,0.204640568,0.177579218,0.07312267,-0.01444268,-0.025156425,0.198117096,57.9,forest,pair,0,aerial_catcher
Halcyon_chelicuti,-0.065968893,-0.036577406,-0.01877298,-0.020464883,-0.026058316,0.153516431,0.106575732,0.049422321,-0.021135953,0.001620195,0.080898823,43.24,open,cooperative,1,ground_catcher
Halcyon_coromanda,-0.223234301,-0.172698352,-0.065506863,0.038275409,0.04564988,-0.018436386,0.040649968,-0.074492329,-0.171421921,0.023199149,0.061869221,77.5,forest,pair,1,water_diver
Halcyon_cyanoventris,0.30087999,0.053093286,0.017457399,0.26074338,0.070578218,0.341450514,0.190432019,0.029159049,-0.129074298,0.057135805,0.208317748,93,open,pair,0,ground_catcher
Halcyon_leucocephala,-0.099171532,-0.032112296,-0.049750761,-0.047690054,-0.041769365,0.344088889,0.255094533,0.062550873,-0.001743367,0.096075177,0.177655818,41.8,open,pair,1,aerial_catcher
Halcyon_malimbica,0.032076565,0.173676701,0.044680789,0.192338863,0.180959181,0.247817104,0.18533028,0.061951277,0.006895029,0.07797568,0.246668198,91.8,woodland,pair,1,ground_catcher
Halcyon_pileata,-0.155670487,-0.08176071,0.06007988,0.096215626,-0.003108152,0.258507049,0.326835521,0.068565586,-0.012982307,0.093565531,0.383183061,83.99,open,pair,0,aerial_catcher
Halcyon_senegalensis,-0.020829651,-0.000152087,-0.035258442,0.083070626,0.006484602,0.189932067,0.194087632,0.065478011,-0.005534295,0.10543701,0.171739429,73.44,open,pair,1,ground_catcher
Halcyon_senegaloides,-0.026326432,-0.022144548,-0.024262058,0.014699431,-0.002913549,0.118841054,0.159687031,0.067057663,-0.026177209,0.059267057,0.153573393,61.8,woodland,pair,1,ground_catcher
Halcyon_smyrnensis,-0.117272938,-0.015751124,-0.12340601,0.01582389,-0.094409785,0.171180704,0.154305925,0.066160564,-0.034085644,0.028548332,0.175425064,91.4,woodland,pair,1,water_diver
