species,belly,breast,crown,mantle,nape,rump,tail,tail.underside,throat,wing.coverts,wing.primaries.secondaries,Size,Light_environment ,Parental_care,Territoriality,Hunting_strategy
Merops_viridis,0.012057729,0.036715276,-0.050091973,-0.123420693,-0.093546938,0.059018565,0.108835822,0.007082239,0.094524975,-0.034420121,0.047398276,34.8,woodland,cooperative,0,aerial_catcher
Momotus_aequatorialis,-0.168696944,-0.188075956,0.177167533,-0.133895735,0.202057296,-0.102060817,0.098704265,0.060036045,-0.156340466,-0.097550308,0.026325037,158,woodland,NA,0,ground_dweller
Momotus_mexicanus,-0.060299059,-0.110350878,-0.182792917,-0.176234492,-0.215350507,-0.084877135,0.088286957,0.012154024,-0.094351517,-0.095022001,-0.053887559,75.7,woodland,pair,0,aerial_catcher
Momotus_momota,-0.173671166,-0.207605964,0.104371918,-0.132114687,0.299428781,-0.115173698,0.06767883,0.065446731,-0.195342348,-0.078994773,-0.047528203,114.96,woodland,pair,0,aerial_catcher
Nyctyornis_amictus,-0.002365121,-0.149758489,0.059082809,-0.091244718,-0.090856278,-0.053200301,-0.033215421,-0.093131568,-0.260818514,-0.084429513,-0.053103126,71.89,forest,pair,0,aerial_catcher
Nyctyornis_athertoni,-0.113488952,0.026868232,-0.022159626,-0.061635934,-0.037745879,-0.064661455,-0.04333917,-0.081675852,-0.035689907,-0.069203134,-0.041867003,84.23,woodland,pair,0,aerial_catcher
Pelargopsis_amauroptera,-0.304183991,-0.289731379,-0.232596622,-0.278019882,-0.285132835,0.126372233,-0.059520597,0.006626214,-0.269699732,-0.092076667,-0.066235013,162,open,pair,0,water_diver
Pelargopsis_capensis,-0.233967978,-0.217080821,-0.099699142,-0.129742566,-0.129976478,0.108399895,0.111547088,0.04120375,-0.128160637,-0.006632481,0.113754335,178.68,woodland,pair,1,water_diver
Pelargopsis_melanorhyncha,-0.147580856,-0.110344592,-0.04395082,-0.104068865,-0.050696035,-0.090433893,-0.011593823,0.014941408,-0.107517881,-0.015786849,-0.014390209,193.26,woodland,pair,0,water_diver
Syma_megarhyncha,-0.095865422,-0.226257439,-0.241799562,-0.18968564,-0.252843441,0.040505404,0.132553656,0.066013265,-0.125655589,0.012435974,0.015666165,40,forest,pair,0,aerial_catcher
Syma_torotoro,-0.134384854,-0.18710671,-0.252292742,-0.160351055,-0.280013932,0.033592545,0.160688731,0.03274373,-0.130246166,0.064195596,0.034764805,37.7,forest,pair,1,ground_catcher
Tanysiptera_carolinae,0.302564136,0.377611541,0.378025848,0.382695449,0.420931044,0.001493319,-0.02724157,-0.046085379,0.298441374,0.394044436,0.314305332,50.15,woodland,pair,0,
Tanysiptera_danae,-0.111578171,-0.160457356,-0.153936323,-0.126446881,-0.151842498,-0.200784447,0.224039162,0.035345545,-0.139099464,0.289362205,-0.008144968,43.48,forest,pair,1,
Tanysiptera_galatea,-0.027892363,-0.023837685,0.268316262,0.274921498,0.31816549,0.049223317,0.116604874,0.007494892,-0.072300562,0.271966771,0.202775207,50,forest,pair,0,ground_dweller
